,delta_time,row_count
0,2.282137870788574,1982
1,2.408579111099243,1982
2,2.4346277713775635,1982
3,2.4376256465911865,1982
4,2.544983386993408,1982
5,2.5459864139556885,1982
6,2.5509836673736572,1982
7,2.5849854946136475,1982
8,2.5909745693206787,1982
9,2.5919744968414307,1982
10,2.652191162109375,1982
11,2.653191089630127,1982
12,2.675184488296509,1982
13,2.6901843547821045,1982
14,2.811575412750244,1982
15,2.8197054862976074,1982
16,2.8478872776031494,1982
17,2.8649885654449463,1983
18,2.8972322940826416,1982
19,3.0326764583587646,1983
20,3.0937609672546387,1983
21,3.1258156299591064,1983
22,3.28741455078125,1983
23,3.317645788192749,1983
24,3.4843242168426514,1983
25,3.5083634853363037,1983
26,3.650967597961426,1983
27,3.692180633544922,1983
28,3.801722288131714,1983
29,3.89628267288208,1983
30,4.023614406585693,1983
31,4.135283708572388,1983
32,4.260599851608276,1983
33,4.289602994918823,1983
34,4.445151090621948,1983
35,4.515673398971558,1983
36,4.736126899719238,1983
37,4.7441792488098145,1983
38,4.857868671417236,1983
39,4.9793806076049805,1983
40,5.044708490371704,1983
41,5.109890699386597,1983
42,5.1541383266448975,1983
43,5.369355201721191,1983
44,5.592252016067505,1983
45,5.682461738586426,1983
46,5.692497730255127,1983
47,5.704630613327026,1983
48,5.784120082855225,1983
49,5.904407501220703,1983
50,6.00967812538147,1983
51,6.204862117767334,1983
52,6.342267274856567,1983
53,6.439785480499268,1983
54,6.541434049606323,1983
55,6.543435335159302,1983
56,6.963478326797485,1983
57,7.010626792907715,1983
58,7.0758514404296875,1983
59,7.1130969524383545,1983
60,7.220359802246094,1983
61,7.441973686218262,1983
62,7.449022054672241,1983
63,7.5584166049957275,1983
64,7.634714365005493,1983
65,7.733999252319336,1983
66,7.8532555103302,1983
67,8.076292037963867,1983
68,8.141291379928589,1983
69,8.183289766311646,1983
70,8.23540472984314,1983
71,8.298660039901733,1983
72,8.422199487686157,1983
73,8.453240156173706,1983
74,8.678275346755981,1983
75,8.70834732055664,1983
76,8.791720867156982,1983
77,8.924176692962646,1983
78,9.112371683120728,1983
79,9.256080389022827,1983
80,9.307320594787598,1983
81,9.38752818107605,1983
82,9.420526027679443,1983
83,9.483526945114136,1983
84,9.70439600944519,1983
85,9.914062023162842,1983
86,10.00462818145752,1983
87,10.129999160766602,1983
88,10.25135612487793,1983
89,10.273532152175903,1983
90,10.299851894378662,1983
91,10.361016511917114,1983
92,10.551487445831299,1983
93,10.681331157684326,1983
94,10.793040752410889,1983
95,10.910520076751709,1983
96,11.045972108840942,1983
97,11.088201999664307,1983
98,11.209650993347168,1983
99,11.300422191619873,1983
