,delta_time,row_count
0,2.1093480587005615,2002
1,2.2971887588500977,2002
2,2.2981820106506348,2002
3,2.342219591140747,2002
4,2.4374895095825195,2002
5,2.4725329875946045,2002
6,2.4775302410125732,2002
7,2.4825336933135986,2002
8,2.512122631072998,2002
9,2.5441322326660156,2002
10,2.555828094482422,2002
11,2.5688254833221436,2002
12,2.651188611984253,2002
13,2.681145191192627,2002
14,2.739717960357666,2003
15,2.8515591621398926,2003
16,2.8714096546173096,2003
17,2.9531798362731934,2003
18,2.971196413040161,2003
19,3.0114691257476807,2003
20,3.02347731590271,2003
21,3.027480363845825,2003
22,3.14638090133667,2003
23,3.2607898712158203,2003
24,3.340125322341919,2003
25,3.3941686153411865,2003
26,3.5768754482269287,2003
27,3.802302598953247,2003
28,3.8973805904388428,2003
29,3.9242053031921387,2003
30,3.9814634323120117,2003
31,4.068251609802246,2003
32,4.190049648284912,2003
33,4.361416339874268,2003
34,4.413854122161865,2003
35,4.594519853591919,2003
36,4.662190914154053,2003
37,4.74593710899353,2003
38,4.872409105300903,2003
39,4.954064846038818,2003
40,5.100629806518555,2003
41,5.1036295890808105,2003
42,5.212167739868164,2003
43,5.332469701766968,2003
44,5.4144203662872314,2003
45,5.531273126602173,2003
46,5.67124080657959,2003
47,5.768325328826904,2003
48,5.886058807373047,2003
49,6.013702869415283,2003
50,6.164076328277588,2003
51,6.263981103897095,2003
52,6.318129539489746,2003
53,6.444253921508789,2003
54,6.52518630027771,2003
55,6.700258493423462,2003
56,6.765299081802368,2003
57,6.8758864402771,2003
58,6.918408155441284,2003
59,6.960125684738159,2003
60,7.083744287490845,2003
61,7.262172698974609,2003
62,7.432528257369995,2003
63,7.488001823425293,2003
64,7.49000358581543,2003
65,7.545366287231445,2003
66,7.861128807067871,2003
67,7.879580497741699,2003
68,7.993277549743652,2003
69,8.146482229232788,2003
70,8.21851372718811,2003
71,8.361520290374756,2003
72,8.403512716293335,2003
73,8.580081224441528,2003
74,8.596089601516724,2003
75,8.61373782157898,2003
76,8.895246028900146,2003
77,8.958219766616821,2003
78,9.054527044296265,2003
79,9.190390586853027,2003
80,9.287217855453491,2003
81,9.480276107788086,2003
82,9.53329849243164,2003
83,9.637133359909058,2003
84,9.713128328323364,2003
85,9.752283334732056,2003
86,9.758284330368042,2003
87,9.939274549484253,2003
88,10.090113878250122,2003
89,10.272489786148071,2003
90,10.321269750595093,2003
91,10.418280124664307,2003
92,10.426141738891602,2003
93,10.626330137252808,2003
94,10.778529167175293,2003
95,10.878480911254883,2003
96,11.012207984924316,2003
97,11.075263500213623,2003
98,11.135265111923218,2003
99,11.307421207427979,2003
